;Datasets;Products;Chemistry Version;Additional Applications;Software;Pipeline Version;Subpipeline;Species;Disease State;Anatomical entity;Cells or nuclei;Cell Nuclei count;Preservation Method;Staining Method;Selected Cell Types;Biomaterial type;Cell line;Feature Barcode;Donor count;Development Stage;10x Instrument(s);Publish Date;dataset_link;Replicate;input_links;output_links;tech;organ;date;uid_old;id;rep;uid
0;FFPE Human Brain Cancer Data with Human Immuno-Oncology Profiling Panel and Custom Add-on;In Situ Gene Expression;v1;unknown;Xenium Onboard Analysis;v2.0.0;unknown;Human;glioblastoma multiforme;brain;cells;unknown;FFPE;unknown;unknown;Specimen from Organism;unknown;unknown;1;adult;Xenium Analyzer;2024-04-15;https://www.10xgenomics.com/datasets/ffpe-human-brain-cancer-data-with-human-immuno-oncology-profiling-panel-and-custom-add-on-1-standard;nan;"[{""name"": ""Panel (JSON)"", ""url"": ""https://cf.10xgenomics.com/samples/xenium/2.0.0/Xenium_V1_Human_Brain_GBM_FFPE/Xenium_V1_Human_Brain_GBM_FFPE_gene_panel.json""}, {""name"": ""Supplemental: Post-Xenium H&E image (OME-TIFF)"", ""url"": ""https://cf.10xgenomics.com/samples/xenium/2.0.0/Xenium_V1_Human_Brain_GBM_FFPE/Xenium_V1_Human_Brain_GBM_FFPE_he_image.ome.tif""}, {""name"": ""Supplemental: H&E Image Alignment File (CSV)"", ""url"": ""https://cf.10xgenomics.com/samples/xenium/2.0.0/Xenium_V1_Human_Brain_GBM_FFPE/Xenium_V1_Human_Brain_GBM_FFPE_he_imagealignment.csv""}]";"[{""name"": ""Format details"", ""url"": ""/support/software/xenium-onboard-analysis/latest/analysis/xoa-output-at-a-glance""}, {""name"": ""Xenium Output Bundle (full)"", ""url"": ""https://s3-us-west-2.amazonaws.com/10x.files/samples/xenium/2.0.0/Xenium_V1_Human_Brain_GBM_FFPE/Xenium_V1_Human_Brain_GBM_FFPE_outs.zip""}, {""name"": ""Xenium Output Bundle (Xenium Explorer subset)"", ""url"": ""https://cf.10xgenomics.com/samples/xenium/2.0.0/Xenium_V1_Human_Brain_GBM_FFPE/Xenium_V1_Human_Brain_GBM_FFPE_xe_outs.zip""}]";Xenium;brain;20240415;ooaie;10u63__10X__Xenium__Human__brain__20240415__v2.0.0;nan;10u63
1;Mouse Bone Data with Custom Add-on Panel;In Situ Gene Expression;v1;unknown;Xenium Onboard Analysis;v1.9.0;unknown;Mouse;unknown;bone;cells;unknown;FFPE;unknown;unknown;Specimen from Organism;unknown;unknown;3;adult;Xenium Analyzer;2024-04-03;https://www.10xgenomics.com/datasets/mouse-bone-data-with-custom-add-on-panel-1-standard;10% Formic acid decalcification;"[{""name"": ""Panel (JSON)"", ""url"": ""https://cf.10xgenomics.com/samples/xenium/1.9.0/Xenium_V1_mFemur_formic_acid_24hrdecal_section/Xenium_V1_mFemur_formic_acid_24hrdecal_section_gene_panel.json""}, {""name"": ""Supplemental: Add-on Panel (CSV)"", ""url"": ""https://cf.10xgenomics.com/samples/xenium/1.9.0/Xenium_V1_mFemur_formic_acid_24hrdecal_section/Xenium_V1_mFemur_formic_acid_24hrdecal_section_gene_list.csv""}, {""name"": ""Supplemental: Post-Xenium H&E image (OME-TIFF)"", ""url"": ""https://cf.10xgenomics.com/samples/xenium/1.9.0/Xenium_V1_mFemur_formic_acid_24hrdecal_section/Xenium_V1_mFemur_formic_acid_24hrdecal_section_he_image.ome.tif""}, {""name"": ""Supplemental: H&E Image Alignment File (CSV)"", ""url"": ""https://cf.10xgenomics.com/samples/xenium/1.9.0/Xenium_V1_mFemur_formic_acid_24hrdecal_section/Xenium_V1_mFemur_formic_acid_24hrdecal_section_he_imagealignment.csv""}]";"[{""name"": ""Format details"", ""url"": ""/support/software/xenium-onboard-analysis/latest/analysis/xoa-output-at-a-glance""}, {""name"": ""Xenium Output Bundle (full)"", ""url"": ""https://cf.10xgenomics.com/samples/xenium/1.9.0/Xenium_V1_mFemur_formic_acid_24hrdecal_section/Xenium_V1_mFemur_formic_acid_24hrdecal_section_outs.zip""}, {""name"": ""Xenium Output Bundle (Xenium Explorer subset)"", ""url"": ""https://cf.10xgenomics.com/samples/xenium/1.9.0/Xenium_V1_mFemur_formic_acid_24hrdecal_section/Xenium_V1_mFemur_formic_acid_24hrdecal_section_xe_outs.zip""}]";Xenium;bone;20240403;nqe4e;106xa__10X__Xenium__Mouse__bone__20240403__v1.9.0__10Formicaciddecalcification;10Formicaciddecalcification;106xa
2;Mouse Bone Data with Custom Add-on Panel;In Situ Gene Expression;v1;unknown;Xenium Onboard Analysis;v1.9.0;unknown;Mouse;unknown;bone;cells;unknown;FFPE;unknown;unknown;Specimen from Organism;unknown;unknown;3;adult;Xenium Analyzer;2024-04-03;https://www.10xgenomics.com/datasets/mouse-bone-data-with-custom-add-on-panel-1-standard;0.5M EDTA decalcification;"[{""name"": ""Panel (JSON)"", ""url"": ""https://cf.10xgenomics.com/samples/xenium/1.9.0/Xenium_V1_mFemur_EDTA_3daydecal_section/Xenium_V1_mFemur_EDTA_3daydecal_section_gene_panel.json""}, {""name"": ""Supplemental: Add-on Panel (CSV)"", ""url"": ""https://cf.10xgenomics.com/samples/xenium/1.9.0/Xenium_V1_mFemur_EDTA_3daydecal_section/Xenium_V1_mFemur_EDTA_3daydecal_section_gene_list.csv""}, {""name"": ""Supplemental: Post-Xenium H&E image (OME-TIFF)"", ""url"": ""https://cf.10xgenomics.com/samples/xenium/1.9.0/Xenium_V1_mFemur_EDTA_3daydecal_section/Xenium_V1_mFemur_EDTA_3daydecal_section_he_image.ome.tif""}, {""name"": ""Supplemental: H&E Image Alignment File (CSV)"", ""url"": ""https://cf.10xgenomics.com/samples/xenium/1.9.0/Xenium_V1_mFemur_EDTA_3daydecal_section/Xenium_V1_mFemur_EDTA_3daydecal_section_he_imagealignment.csv""}]";"[{""name"": ""Format details"", ""url"": ""/support/software/xenium-onboard-analysis/latest/analysis/xoa-output-at-a-glance""}, {""name"": ""Xenium Output Bundle (full)"", ""url"": ""https://cf.10xgenomics.com/samples/xenium/1.9.0/Xenium_V1_mFemur_EDTA_3daydecal_section/Xenium_V1_mFemur_EDTA_3daydecal_section_outs.zip""}, {""name"": ""Xenium Output Bundle (Xenium Explorer subset)"", ""url"": ""https://cf.10xgenomics.com/samples/xenium/1.9.0/Xenium_V1_mFemur_EDTA_3daydecal_section/Xenium_V1_mFemur_EDTA_3daydecal_section_xe_outs.zip""}]";Xenium;bone;20240403;56r5s;10n1k__10X__Xenium__Mouse__bone__20240403__v1.9.0__0.5MEDTAdecalcification;0.5MEDTAdecalcification;10n1k
3;Mouse Bone Data with Custom Add-on Panel;In Situ Gene Expression;v1;unknown;Xenium Onboard Analysis;v1.9.0;unknown;Mouse;unknown;bone;cells;unknown;FFPE;unknown;unknown;Specimen from Organism;unknown;unknown;3;adult;Xenium Analyzer;2024-04-03;https://www.10xgenomics.com/datasets/mouse-bone-data-with-custom-add-on-panel-1-standard;15% EDTA/0.4% PFA decalcification;"[{""name"": ""Panel (JSON)"", ""url"": ""https://cf.10xgenomics.com/samples/xenium/1.9.0/Xenium_V1_mFemur_EDTA_PFA_3daydecal_section/Xenium_V1_mFemur_EDTA_PFA_3daydecal_section_gene_panel.json""}, {""name"": ""Supplemental: Add-on Panel (CSV)"", ""url"": ""https://cf.10xgenomics.com/samples/xenium/1.9.0/Xenium_V1_mFemur_EDTA_PFA_3daydecal_section/Xenium_V1_mFemur_EDTA_PFA_3daydecal_section_gene_list.csv""}, {""name"": ""Supplemental: Post-Xenium H&E image (OME-TIFF)"", ""url"": ""https://cf.10xgenomics.com/samples/xenium/1.9.0/Xenium_V1_mFemur_EDTA_PFA_3daydecal_section/Xenium_V1_mFemur_EDTA_PFA_3daydecal_section_he_image.ome.tif""}, {""name"": ""Supplemental: H&E Image Alignment File (CSV)"", ""url"": ""https://cf.10xgenomics.com/samples/xenium/1.9.0/Xenium_V1_mFemur_EDTA_PFA_3daydecal_section/Xenium_V1_mFemur_EDTA_PFA_3daydecal_section_he_imagealignment.csv""}]";"[{""name"": ""Format details"", ""url"": ""/support/software/xenium-onboard-analysis/latest/analysis/xoa-output-at-a-glance""}, {""name"": ""Xenium Output Bundle (full)"", ""url"": ""https://cf.10xgenomics.com/samples/xenium/1.9.0/Xenium_V1_mFemur_EDTA_PFA_3daydecal_section/Xenium_V1_mFemur_EDTA_PFA_3daydecal_section_outs.zip""}, {""name"": ""Xenium Output Bundle (Xenium Explorer subset)"", ""url"": ""https://cf.10xgenomics.com/samples/xenium/1.9.0/Xenium_V1_mFemur_EDTA_PFA_3daydecal_section/Xenium_V1_mFemur_EDTA_PFA_3daydecal_section_xe_outs.zip""}]";Xenium;bone;20240403;1lhfw;10ndm__10X__Xenium__Mouse__bone__20240403__v1.9.0__15EDTA0.4PFAdecalcification;15EDTA0.4PFAdecalcification;10ndm
4;Human Bone and Bone Marrow Data with Custom Add-on Panel;In Situ Gene Expression;v1;unknown;Xenium Onboard Analysis;v1.9.0;unknown;Human;acute lymphoid leukemia;bone, bone marrow;cells;unknown;FFPE;unknown;unknown;Specimen from Organism;unknown;unknown;3;adult;Xenium Analyzer;2024-04-03;https://www.10xgenomics.com/datasets/human-bone-and-bone-marrow-data-with-custom-add-on-panel-1-standard;Acute Lymphoid Leukemia Bone Marrow;"[{""name"": ""Panel (JSON)"", ""url"": ""https://cf.10xgenomics.com/samples/xenium/1.9.0/Xenium_V1_hBoneMarrow_acute_lymphoid_leukemia_section/Xenium_V1_hBoneMarrow_acute_lymphoid_leukemia_section_gene_panel.json""}, {""name"": ""Supplemental: Add-on Panel (CSV)"", ""url"": ""https://cf.10xgenomics.com/samples/xenium/1.9.0/Xenium_V1_hBoneMarrow_acute_lymphoid_leukemia_section/Xenium_V1_hBoneMarrow_acute_lymphoid_leukemia_section_gene_list.csv""}, {""name"": ""Supplemental: Post-Xenium H&E image (OME-TIFF)"", ""url"": ""https://cf.10xgenomics.com/samples/xenium/1.9.0/Xenium_V1_hBoneMarrow_acute_lymphoid_leukemia_section/Xenium_V1_hBoneMarrow_acute_lymphoid_leukemia_section_he_image.ome.tif""}, {""name"": ""Supplemental: H&E Image Alignment File (CSV)"", ""url"": ""https://cf.10xgenomics.com/samples/xenium/1.9.0/Xenium_V1_hBoneMarrow_acute_lymphoid_leukemia_section/Xenium_V1_hBoneMarrow_acute_lymphoid_leukemia_section_he_imagealignment.csv""}]";"[{""name"": ""Format details"", ""url"": ""/support/software/xenium-onboard-analysis/latest/analysis/xoa-output-at-a-glance""}, {""name"": ""Xenium Output Bundle (full)"", ""url"": ""https://cf.10xgenomics.com/samples/xenium/1.9.0/Xenium_V1_hBoneMarrow_acute_lymphoid_leukemia_section/Xenium_V1_hBoneMarrow_acute_lymphoid_leukemia_section_outs.zip""}, {""name"": ""Xenium Output Bundle (Xenium Explorer subset)"", ""url"": ""https://cf.10xgenomics.com/samples/xenium/1.9.0/Xenium_V1_hBoneMarrow_acute_lymphoid_leukemia_section/Xenium_V1_hBoneMarrow_acute_lymphoid_leukemia_section_xe_outs.zip""}]";Xenium;bone_bone_marrow;20240403;fulvo;10nsr__10X__Xenium__Human__bone_bone_marrow__20240403__v1.9.0__AcuteLymphoidLeukemiaBoneMarrow;AcuteLymphoidLeukemiaBoneMarrow;10nsr
5;Human Bone and Bone Marrow Data with Custom Add-on Panel;In Situ Gene Expression;v1;unknown;Xenium Onboard Analysis;v1.9.0;unknown;Human;acute lymphoid leukemia;bone, bone marrow;cells;unknown;FFPE;unknown;unknown;Specimen from Organism;unknown;unknown;3;adult;Xenium Analyzer;2024-04-03;https://www.10xgenomics.com/datasets/human-bone-and-bone-marrow-data-with-custom-add-on-panel-1-standard;Non-diseased Bone Marrow;"[{""name"": ""Panel (JSON)"", ""url"": ""https://cf.10xgenomics.com/samples/xenium/1.9.0/Xenium_V1_hBoneMarrow_nondiseased_section/Xenium_V1_hBoneMarrow_nondiseased_section_gene_panel.json""}, {""name"": ""Supplemental: Add-on Panel (CSV)"", ""url"": ""https://cf.10xgenomics.com/samples/xenium/1.9.0/Xenium_V1_hBoneMarrow_nondiseased_section/Xenium_V1_hBoneMarrow_nondiseased_section_gene_list.csv""}, {""name"": ""Supplemental: Post-Xenium H&E image (OME-TIFF)"", ""url"": ""https://cf.10xgenomics.com/samples/xenium/1.9.0/Xenium_V1_hBoneMarrow_nondiseased_section/Xenium_V1_hBoneMarrow_nondiseased_section_he_image.ome.tif""}, {""name"": ""Supplemental: H&E Image Alignment File (CSV)"", ""url"": ""https://cf.10xgenomics.com/samples/xenium/1.9.0/Xenium_V1_hBoneMarrow_nondiseased_section/Xenium_V1_hBoneMarrow_nondiseased_section_he_imagealignment.csv""}]";"[{""name"": ""Format details"", ""url"": ""/support/software/xenium-onboard-analysis/latest/analysis/xoa-output-at-a-glance""}, {""name"": ""Xenium Output Bundle (full)"", ""url"": ""https://cf.10xgenomics.com/samples/xenium/1.9.0/Xenium_V1_hBoneMarrow_nondiseased_section/Xenium_V1_hBoneMarrow_nondiseased_section_outs.zip""}, {""name"": ""Xenium Output Bundle (Xenium Explorer subset)"", ""url"": ""https://cf.10xgenomics.com/samples/xenium/1.9.0/Xenium_V1_hBoneMarrow_nondiseased_section/Xenium_V1_hBoneMarrow_nondiseased_section_xe_outs.zip""}]";Xenium;bone_bone_marrow;20240403;hp7qe;10040__10X__Xenium__Human__bone_bone_marrow__20240403__v1.9.0__Non-diseasedBoneMarrow;Non-diseasedBoneMarrow;10040
6;Human Bone and Bone Marrow Data with Custom Add-on Panel;In Situ Gene Expression;v1;unknown;Xenium Onboard Analysis;v1.9.0;unknown;Human;acute lymphoid leukemia;bone, bone marrow;cells;unknown;FFPE;unknown;unknown;Specimen from Organism;unknown;unknown;3;adult;Xenium Analyzer;2024-04-03;https://www.10xgenomics.com/datasets/human-bone-and-bone-marrow-data-with-custom-add-on-panel-1-standard;Non-diseased Femur Bone;"[{""name"": ""Panel (JSON)"", ""url"": ""https://cf.10xgenomics.com/samples/xenium/1.9.0/Xenium_V1_hBone_nondiseased_section/Xenium_V1_hBone_nondiseased_section_gene_panel.json""}, {""name"": ""Supplemental: Add-on Panel (CSV)"", ""url"": ""https://cf.10xgenomics.com/samples/xenium/1.9.0/Xenium_V1_hBone_nondiseased_section/Xenium_V1_hBone_nondiseased_section_gene_list.csv""}, {""name"": ""Supplemental: Post-Xenium H&E image (OME-TIFF)"", ""url"": ""https://cf.10xgenomics.com/samples/xenium/1.9.0/Xenium_V1_hBone_nondiseased_section/Xenium_V1_hBone_nondiseased_section_he_image.ome.tif""}, {""name"": ""Supplemental: H&E Image Alignment File (CSV)"", ""url"": ""https://cf.10xgenomics.com/samples/xenium/1.9.0/Xenium_V1_hBone_nondiseased_section/Xenium_V1_hBone_nondiseased_section_he_imagealignment.csv""}]";"[{""name"": ""Format details"", ""url"": ""/support/software/xenium-onboard-analysis/latest/analysis/xoa-output-at-a-glance""}, {""name"": ""Xenium Output Bundle (full)"", ""url"": ""https://cf.10xgenomics.com/samples/xenium/1.9.0/Xenium_V1_hBone_nondiseased_section/Xenium_V1_hBone_nondiseased_section_outs.zip""}, {""name"": ""Xenium Output Bundle (Xenium Explorer subset)"", ""url"": ""https://cf.10xgenomics.com/samples/xenium/1.9.0/Xenium_V1_hBone_nondiseased_section/Xenium_V1_hBone_nondiseased_section_xe_outs.zip""}]";Xenium;bone_bone_marrow;20240403;oftpw;10pui__10X__Xenium__Human__bone_bone_marrow__20240403__v1.9.0__Non-diseasedFemurBone;Non-diseasedFemurBone;10pui
7;Visium HD Spatial Gene Expression Library, Mouse Brain (FFPE);HD Spatial Gene Expression;v1;unknown;Space Ranger;v3.0.0;spaceranger count;Mouse;Healthy;Brain;unknown;unknown;FFPE;H&E;unknown;Specimen from Organism, Imaged Specimen;unknown;unknown;1;juvenile;Visium CytAssist;2024-03-29;https://www.10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-libraries-of-mouse-brain-he;nan;"[{""name"": ""CytAssist image"", ""url"": ""https://cf.10xgenomics.com/samples/spatial-exp/3.0.0/Visium_HD_Mouse_Brain/Visium_HD_Mouse_Brain_image.tif""}, {""name"": ""Microscope image"", ""url"": ""https://cf.10xgenomics.com/samples/spatial-exp/3.0.0/Visium_HD_Mouse_Brain/Visium_HD_Mouse_Brain_tissue_image.tif""}, {""name"": ""Loupe alignment file"", ""url"": ""https://cf.10xgenomics.com/samples/spatial-exp/3.0.0/Visium_HD_Mouse_Brain/Visium_HD_Mouse_Brain_alignment_file.json""}, {""name"": ""FASTQs"", ""url"": ""https://s3-us-west-2.amazonaws.com/10x.files/samples/spatial-exp/3.0.0/Visium_HD_Mouse_Brain/Visium_HD_Mouse_Brain_fastqs.tar""}, {""name"": ""Probe Set CSV"", ""url"": ""https://cf.10xgenomics.com/samples/spatial-exp/3.0.0/Visium_HD_Mouse_Brain/Visium_HD_Mouse_Brain_probe_set.csv""}]";"[{""name"": ""Web Summary HTML"", ""url"": ""https://cf.10xgenomics.com/samples/spatial-exp/3.0.0/Visium_HD_Mouse_Brain/Visium_HD_Mouse_Brain_web_summary.html""}, {""name"": ""Loupe file"", ""url"": ""https://cf.10xgenomics.com/samples/spatial-exp/3.0.0/Visium_HD_Mouse_Brain/Visium_HD_Mouse_Brain_cloupe_008um.cloupe""}, {""name"": ""Feature slice H5"", ""url"": ""https://cf.10xgenomics.com/samples/spatial-exp/3.0.0/Visium_HD_Mouse_Brain/Visium_HD_Mouse_Brain_feature_slice.h5""}, {""name"": ""Metrics summary CSV"", ""url"": ""https://cf.10xgenomics.com/samples/spatial-exp/3.0.0/Visium_HD_Mouse_Brain/Visium_HD_Mouse_Brain_metrics_summary.csv""}, {""name"": ""Molecule info H5"", ""url"": ""https://cf.10xgenomics.com/samples/spatial-exp/3.0.0/Visium_HD_Mouse_Brain/Visium_HD_Mouse_Brain_molecule_info.h5""}, {""name"": ""Spatial outputs"", ""url"": ""https://cf.10xgenomics.com/samples/spatial-exp/3.0.0/Visium_HD_Mouse_Brain/Visium_HD_Mouse_Brain_spatial.tar.gz""}, {""name"": ""2 micron square outputs"", ""url"": ""https://cf.10xgenomics.com/samples/spatial-exp/3.0.0/Visium_HD_Mouse_Brain/Visium_HD_Mouse_Brain_square_002um_outputs.tar.gz""}, {""name"": ""8 micron binned outputs"", ""url"": ""https://cf.10xgenomics.com/samples/spatial-exp/3.0.0/Visium_HD_Mouse_Brain/Visium_HD_Mouse_Brain_square_008um_outputs.tar.gz""}, {""name"": ""16 micron binned outputs"", ""url"": ""https://cf.10xgenomics.com/samples/spatial-exp/3.0.0/Visium_HD_Mouse_Brain/Visium_HD_Mouse_Brain_square_016um_outputs.tar.gz""}]";VisiumHD;brain;20240329;xxjnz;108x2__10X__VisiumHD__Mouse__brain__20240329__v3.0.0;nan;108x2
8;Visium HD Spatial Gene Expression Library, Human Lung Cancer, IF Stained (FFPE);HD Spatial Gene Expression;v1;unknown;Space Ranger;v3.0.0;spaceranger count;Human;Lung cancer;Lung;unknown;unknown;FFPE;IF;unknown;Specimen from Organism, Imaged Specimen;unknown;unknown;1;adult;Visium CytAssist;2024-03-29;https://www.10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-libraries-of-human-lung-cancer-if;nan;"[{""name"": ""CytAssist image"", ""url"": ""https://cf.10xgenomics.com/samples/spatial-exp/3.0.0/Visium_HD_Human_Lung_Cancer/Visium_HD_Human_Lung_Cancer_image.tif""}, {""name"": ""Microscope image"", ""url"": ""https://cf.10xgenomics.com/samples/spatial-exp/3.0.0/Visium_HD_Human_Lung_Cancer/Visium_HD_Human_Lung_Cancer_tissue_image.tif""}, {""name"": ""FASTQs"", ""url"": ""https://s3-us-west-2.amazonaws.com/10x.files/samples/spatial-exp/3.0.0/Visium_HD_Human_Lung_Cancer/Visium_HD_Human_Lung_Cancer_fastqs.tar""}, {""name"": ""Probe Set CSV"", ""url"": ""https://cf.10xgenomics.com/samples/spatial-exp/3.0.0/Visium_HD_Human_Lung_Cancer/Visium_HD_Human_Lung_Cancer_probe_set.csv""}]";"[{""name"": ""Web Summary HTML"", ""url"": ""https://cf.10xgenomics.com/samples/spatial-exp/3.0.0/Visium_HD_Human_Lung_Cancer/Visium_HD_Human_Lung_Cancer_web_summary.html""}, {""name"": ""Loupe file"", ""url"": ""https://cf.10xgenomics.com/samples/spatial-exp/3.0.0/Visium_HD_Human_Lung_Cancer/Visium_HD_Human_Lung_Cancer_cloupe_008um.cloupe""}, {""name"": ""Feature slice H5"", ""url"": ""https://cf.10xgenomics.com/samples/spatial-exp/3.0.0/Visium_HD_Human_Lung_Cancer/Visium_HD_Human_Lung_Cancer_feature_slice.h5""}, {""name"": ""Metrics summary CSV"", ""url"": ""https://cf.10xgenomics.com/samples/spatial-exp/3.0.0/Visium_HD_Human_Lung_Cancer/Visium_HD_Human_Lung_Cancer_metrics_summary.csv""}, {""name"": ""Molecule info H5"", ""url"": ""https://cf.10xgenomics.com/samples/spatial-exp/3.0.0/Visium_HD_Human_Lung_Cancer/Visium_HD_Human_Lung_Cancer_molecule_info.h5""}, {""name"": ""Spatial outputs"", ""url"": ""https://cf.10xgenomics.com/samples/spatial-exp/3.0.0/Visium_HD_Human_Lung_Cancer/Visium_HD_Human_Lung_Cancer_spatial.tar.gz""}, {""name"": ""2 micron square outputs"", ""url"": ""https://cf.10xgenomics.com/samples/spatial-exp/3.0.0/Visium_HD_Human_Lung_Cancer/Visium_HD_Human_Lung_Cancer_square_002um_outputs.tar.gz""}, {""name"": ""8 micron binned outputs"", ""url"": ""https://cf.10xgenomics.com/samples/spatial-exp/3.0.0/Visium_HD_Human_Lung_Cancer/Visium_HD_Human_Lung_Cancer_square_008um_outputs.tar.gz""}, {""name"": ""16 micron binned outputs"", ""url"": ""https://cf.10xgenomics.com/samples/spatial-exp/3.0.0/Visium_HD_Human_Lung_Cancer/Visium_HD_Human_Lung_Cancer_square_016um_outputs.tar.gz""}]";VisiumHD;lung;20240329;wxjgz;10vek__10X__VisiumHD__Human__lung__20240329__v3.0.0;nan;10vek
9;Visium HD Spatial Gene Expression Library, Mouse Small Intestine (FFPE);HD Spatial Gene Expression;v1;unknown;Space Ranger;v3.0.0;spaceranger count;Mouse;Healthy;Intestine;unknown;unknown;FFPE;H&E;unknown;Specimen from Organism, Imaged Specimen;unknown;unknown;1;juvenile;Visium CytAssist;2024-03-25;https://www.10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-libraries-of-mouse-intestine;nan;"[{""name"": ""CytAssist image"", ""url"": ""https://cf.10xgenomics.com/samples/spatial-exp/3.0.0/Visium_HD_Mouse_Small_Intestine/Visium_HD_Mouse_Small_Intestine_image.tif""}, {""name"": ""Microscope image"", ""url"": ""https://cf.10xgenomics.com/samples/spatial-exp/3.0.0/Visium_HD_Mouse_Small_Intestine/Visium_HD_Mouse_Small_Intestine_tissue_image.btf""}, {""name"": ""FASTQs"", ""url"": ""https://s3-us-west-2.amazonaws.com/10x.files/samples/spatial-exp/3.0.0/Visium_HD_Mouse_Small_Intestine/Visium_HD_Mouse_Small_Intestine_fastqs.tar""}, {""name"": ""Probe Set CSV"", ""url"": ""https://cf.10xgenomics.com/samples/spatial-exp/3.0.0/Visium_HD_Mouse_Small_Intestine/Visium_HD_Mouse_Small_Intestine_probe_set.csv""}, {""name"": ""Slide layout file"", ""url"": ""https://cf.10xgenomics.com/samples/spatial-exp/3.0.0/Visium_HD_Mouse_Small_Intestine/Visium_HD_Mouse_Small_Intestine_slide_file.vlf""}]";"[{""name"": ""Web Summary HTML"", ""url"": ""https://cf.10xgenomics.com/samples/spatial-exp/3.0.0/Visium_HD_Mouse_Small_Intestine/Visium_HD_Mouse_Small_Intestine_web_summary.html""}, {""name"": ""Loupe file"", ""url"": ""https://cf.10xgenomics.com/samples/spatial-exp/3.0.0/Visium_HD_Mouse_Small_Intestine/Visium_HD_Mouse_Small_Intestine_cloupe_008um.cloupe""}, {""name"": ""Feature slice H5"", ""url"": ""https://cf.10xgenomics.com/samples/spatial-exp/3.0.0/Visium_HD_Mouse_Small_Intestine/Visium_HD_Mouse_Small_Intestine_feature_slice.h5""}, {""name"": ""Metrics summary CSV"", ""url"": ""https://cf.10xgenomics.com/samples/spatial-exp/3.0.0/Visium_HD_Mouse_Small_Intestine/Visium_HD_Mouse_Small_Intestine_metrics_summary.csv""}, {""name"": ""Molecule info H5"", ""url"": ""https://cf.10xgenomics.com/samples/spatial-exp/3.0.0/Visium_HD_Mouse_Small_Intestine/Visium_HD_Mouse_Small_Intestine_molecule_info.h5""}, {""name"": ""Spatial outputs"", ""url"": ""https://cf.10xgenomics.com/samples/spatial-exp/3.0.0/Visium_HD_Mouse_Small_Intestine/Visium_HD_Mouse_Small_Intestine_spatial.tar.gz""}, {""name"": ""2 micron square outputs"", ""url"": ""https://cf.10xgenomics.com/samples/spatial-exp/3.0.0/Visium_HD_Mouse_Small_Intestine/Visium_HD_Mouse_Small_Intestine_square_002um_binned_outputs.tar.gz""}, {""name"": ""8 micron binned outputs"", ""url"": ""https://cf.10xgenomics.com/samples/spatial-exp/3.0.0/Visium_HD_Mouse_Small_Intestine/Visium_HD_Mouse_Small_Intestine_square_008um_binned_outputs.tar.gz""}, {""name"": ""16 micron binned outputs"", ""url"": ""https://cf.10xgenomics.com/samples/spatial-exp/3.0.0/Visium_HD_Mouse_Small_Intestine/Visium_HD_Mouse_Small_Intestine_square_016um_binned_outputs.tar.gz""}]";VisiumHD;intestine;20240325;jqmx8;10s7d__10X__VisiumHD__Mouse__intestine__20240325__v3.0.0;nan;10s7d
